,text,label
11,URGENT! I be Mrs. Joy from UBA. We need your account to wire $7M. Reply with BVN!,1
8,"Dear customer, your phone number don win 2024 Coca-Cola promo. Wire $100 to get ya $1M prize.",1
20,"Abeg you don get job as PayPal agent. Pay ₦1,500 for training and start earning $200 daily!",1
7,"Maga must pay! You win Dubai visa lottery. Pay ₦5,000 processing fee to collect ya prize.",1
1,"Abeg, you don chop? Make we hang out for shop later.",0
1,"Maga, I dey court now. Your papa cousin die for UK, him leave you £2M. Send your BVN quick quick!",1
29,"I go gym tomorrow morning, you wan join me?",0
9,"Your brother don reach school safely, no worry.",0
11,"Make we meet for office before 9am tomorrow, boss wan see us.",0
6,"Abeg una, GTBank don select you win $10M. Send ATM card details to collect ya money!",1
24,"Oga, you don win Shell Oil scholarship. Send ₦1,500 for processing. No dull!",1
5,CONGRATULATIONS! You don win ₦50M for MTN lottery. Click [fraudlink.com] to claim before 24hrs!,1
13,You don do your assignment? Lecturer go collect am tomorrow.,0
10,Abeg help me transfer $12M from CBN. You go get 30% if you send your account number now now!,1
25,How your headache? You don better small?,0
5,"Mama say make I greet you, she dey find you.",0
15,"I don transfer the money wey you lend me, check your account.",0
12,"I no go fit come class today, I dey sick small.",0
21,"Maga, we dey hire for UK visa processing. Pay ₦3,000 to get ya appointment letter!",1
27,No forget take your malaria drugs o!,0
9,"Omo Naija, you don win UK green card lottery. Pay ₦10,000 for delivery. No dull yourself!",1
14,"Abeg remind me of the project deadline, I don forget.",0
22,"Dear graduate, Dangote refinery dey recruit. Pay ₦2,000 for form. Limited slots!",1
19,"Omo Yoruba, I get secret to hack GTBank. Pay ₦2,000 to learn how to make ₦5M daily!",1
4,URGENT! Your mama brother for America don die. Him leave you house worth $1.2M. Pay lawyer fee of $200 to claim.,1
0,"Bro, wetin dey happen for the meeting tomorrow?",0
13,"Dear sister, na me be Prince Ade from Saudi. I go transfer $9M to you. Abeg keep 20% for yourself!",1
15,Abeg I be widow for Libya. I need your account to transfer my late husband $6M. You go get 25%!,1
16,How much be the transport fare from here to Lagos?,0
18,"No spend that money o, we need am for rent next week.",0
6,"My pikin birthday dey next week, you go come?",0
17,Make we contribute money buy gift for Aunty Grace wedding.,0
3,How far? You don see the new film wey dey cinema?,0
10,"Oga, the report wey you send no open o. Try resend am.",0
0,"Abeg my brother, I be Barrister John from Naija. Your late uncle don leave you $8.5M. Pay small fee of $500 to collect ya money. Urgent!",1
27,"Abeg help orphanage for Lagos. Donate ₦2,000 and God go bless you with visa to Canada!",1
8,No forget say we get family meeting on Sunday.,0
2,"Dear friend, na me be Pastor Mike. God reveal say you go inherit $3M from dead brother. Reply ASAP for prayers!",1
25,"Dear brother, God reveal say you go donate ₦10,000 to get miracle ₦50M. Reply 'AMEN' now!",1
18,"URGENT! I be NNPC staff. We dey sell crude oil cheap. Pay $1,000 to join and make millions!",1
20,"Make we plan weekend trip to Abuja, my cousin dey there.",0
14,"Oga, my boss don die for plane crash. Help me transfer him $15M, you go take 40%. No time!",1
29,"Omo Igbo, your ancestors say make you send ₦3,000 for cleansing. After that, money go flow!",1
12,"Maga, I be Oyinbo man. I wan transfer $5M to you. Send your account and ATM PIN!",1
19,You fit borrow me small change? I go pay back Friday.,0
26,"Maga, na Pastor Paul here. Your blessing dey delay because of evil. Pay ₦5,000 for deliverance!",1
2,"No vex, I go reach your house by 4pm today.",0
21,You dey go church on Sunday? Make we go together.,0
3,"Oga, you don win family inheritance! Na $5M dey for your name. Abeg send account number to transfer.",1
28,URGENT! Prophet TB Joshua say you must sow $100 seed to escape accident this year!,1
23,URGENT! UN don approve your remote job. Pay $50 for ID card and start work tomorrow!,1
16,"Maga, I be army officer. We find $20M for Boko Haram camp. Pay $300 to help us move am!",1
7,Wetin you want make I bring for you when I dey come back from market?,0
24,Make we practice the song for choir rehearsal tonight.,0
23,"The party go start by 7pm, no come late o!",0
4,"Make you call me when you don wake up, I get something to tell you.",0
17,"Dear friend, na God send you. My pikin dey sick for hospital. Wire $500 to save am, I go pay you $10K next week!",1
22,"My wedding invitation don ready, I go give you yours tomorrow.",0
28,"Make you rest well, you don work too much this week.",0
26,Mama dey hospital but doctors say she go fine soon.,0
